epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,507.047,1.12642,2.29759,1.35639,0.83419,0.78892,0.87955,0.6107,1.06456,1.66805,1.30867,0.000330969,0.000330969,0.000330969
2,1025.56,1.14551,1.48177,1.34257,0.76184,0.74837,0.8139,0.55725,1.09465,1.60575,1.34134,0.000637996,0.000637996,0.000637996
3,1533.69,1.12474,1.34275,1.3238,0.79903,0.7345,0.83188,0.60789,0.97344,1.52102,1.28956,0.000918623,0.000918623,0.000918623
4,2634.23,1.08919,1.22261,1.30775,0.7727,0.80786,0.85959,0.59349,1.1245,1.36865,1.38454,0.0008812,0.0008812,0.0008812
5,3111.32,1.05084,1.12522,1.27196,0.87762,0.87254,0.92969,0.63249,1.13106,1.08118,1.34057,0.0008416,0.0008416,0.0008416
6,3592.63,1.01386,1.02708,1.24251,0.87572,0.89394,0.93612,0.71985,0.86741,0.88581,1.20138,0.000802,0.000802,0.000802
7,4091.04,0.99588,0.95133,1.24156,0.87507,0.90009,0.94361,0.71844,0.87853,0.83867,1.21714,0.0007624,0.0007624,0.0007624
8,4539.03,0.9739,0.89615,1.22692,0.88335,0.84574,0.93333,0.71205,0.85361,0.87189,1.19893,0.0007228,0.0007228,0.0007228
9,5074.67,0.94502,0.82802,1.20368,0.89936,0.90129,0.95697,0.74159,0.822,0.67907,1.16388,0.0006832,0.0006832,0.0006832
10,5519.89,0.92323,0.81857,1.19107,0.92282,0.9121,0.96362,0.75902,0.78917,0.63911,1.14516,0.0006436,0.0006436,0.0006436
11,5965.1,0.92247,0.78844,1.19422,0.91921,0.88703,0.95695,0.74104,0.8472,0.67242,1.17099,0.000604,0.000604,0.000604
12,6488.97,0.91092,0.76213,1.19954,0.93976,0.91031,0.96384,0.77963,0.73253,0.57071,1.09793,0.0005644,0.0005644,0.0005644
13,7023.94,0.87861,0.72718,1.17365,0.90236,0.90464,0.95994,0.76017,0.75433,0.62164,1.10422,0.0005248,0.0005248,0.0005248
14,7466.12,0.85832,0.69155,1.15731,0.9217,0.91172,0.96836,0.78159,0.72068,0.55881,1.0971,0.0004852,0.0004852,0.0004852
15,7907.16,0.84482,0.6627,1.15148,0.91277,0.94082,0.97195,0.77852,0.75585,0.53614,1.12554,0.0004456,0.0004456,0.0004456
16,8342.84,0.7965,0.58962,1.12556,0.93103,0.89275,0.96634,0.77779,0.71576,0.56891,1.09208,0.000406,0.000406,0.000406
17,8773.21,0.77038,0.5468,1.10035,0.94584,0.92118,0.97175,0.77512,0.75134,0.52412,1.1124,0.0003664,0.0003664,0.0003664
18,9205.51,0.75229,0.52572,1.093,0.92101,0.95064,0.96984,0.78841,0.71162,0.49621,1.10224,0.0003268,0.0003268,0.0003268
19,9637.72,0.74356,0.50133,1.08172,0.9434,0.92916,0.97459,0.78284,0.74018,0.48926,1.11223,0.0002872,0.0002872,0.0002872
20,10073.9,0.72686,0.47145,1.07092,0.95732,0.91751,0.96886,0.79612,0.68957,0.45435,1.07269,0.0002476,0.0002476,0.0002476
21,10503.6,0.7152,0.45723,1.05779,0.94847,0.94307,0.96949,0.79284,0.71437,0.44147,1.10127,0.000208,0.000208,0.000208
22,10940.7,0.68824,0.44313,1.05387,0.9318,0.93508,0.97036,0.79978,0.69478,0.44548,1.07553,0.0001684,0.0001684,0.0001684
23,11370.3,0.68006,0.42432,1.04481,0.96337,0.93913,0.97182,0.79735,0.69449,0.42891,1.07691,0.0001288,0.0001288,0.0001288
24,11803.7,0.6685,0.41533,1.04286,0.95333,0.94025,0.97432,0.8013,0.6805,0.42354,1.07248,8.92e-05,8.92e-05,8.92e-05
25,12235.5,0.65315,0.40703,1.02776,0.94411,0.9402,0.97225,0.79949,0.68133,0.428,1.07292,4.96e-05,4.96e-05,4.96e-05
