epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2503.38,1.12766,2.29873,1.35517,0.84749,0.81521,0.89071,0.62958,1.04587,1.57902,1.29583,0.000330969,0.000330969,0.000330969
2,4194.8,1.14269,1.45728,1.33666,0.82204,0.79552,0.85556,0.5166,1.35852,1.59723,1.5151,0.000651149,0.000651149,0.000651149
3,6017.79,1.12642,1.35784,1.33108,0.77918,0.82903,0.8786,0.64298,0.96511,1.40585,1.31756,0.00095813,0.00095813,0.00095813
4,7620.12,1.08563,1.20632,1.30064,0.8501,0.81366,0.88246,0.66565,0.92819,1.26154,1.23731,0.0009406,0.0009406,0.0009406
5,9480.28,1.04678,1.1365,1.27692,0.87665,0.86253,0.92319,0.61527,1.15992,1.02457,1.36515,0.0009208,0.0009208,0.0009208
6,11097.7,1.02253,1.0306,1.24778,0.87712,0.86876,0.91016,0.69006,0.86362,0.94755,1.19633,0.000901,0.000901,0.000901
7,12801.9,0.99755,0.96291,1.2432,0.86109,0.9175,0.94976,0.72954,0.84039,0.83683,1.17352,0.0008812,0.0008812,0.0008812
8,14565.9,0.99494,0.92212,1.23933,0.92783,0.91299,0.95585,0.7473,0.81512,0.715,1.15955,0.0008614,0.0008614,0.0008614
9,16537.5,0.95681,0.85752,1.21118,0.89865,0.92094,0.95098,0.73463,0.84474,0.67157,1.18331,0.0008416,0.0008416,0.0008416
10,18487,0.93686,0.83982,1.19949,0.92403,0.86277,0.93686,0.72779,0.82287,0.71724,1.15513,0.0008218,0.0008218,0.0008218
11,20429.3,0.94499,0.8199,1.20747,0.90217,0.91217,0.96088,0.73623,0.85773,0.64896,1.18943,0.000802,0.000802,0.000802
12,22393.2,0.9314,0.8155,1.21017,0.90821,0.93056,0.96066,0.75667,0.78545,0.60453,1.14221,0.0007822,0.0007822,0.0007822
13,24369.3,0.90944,0.7647,1.19803,0.89752,0.92611,0.957,0.75671,0.7558,0.60688,1.12494,0.0007624,0.0007624,0.0007624
14,26048.6,0.8912,0.73725,1.18077,0.90206,0.9229,0.95946,0.74794,0.80581,0.58021,1.13889,0.0007426,0.0007426,0.0007426
15,27718.6,0.88186,0.70967,1.1737,0.93142,0.90752,0.96785,0.76322,0.79513,0.55505,1.15091,0.0007228,0.0007228,0.0007228
16,29329.8,0.88259,0.68024,1.17057,0.88377,0.92591,0.96272,0.75616,0.78489,0.57386,1.13289,0.000703,0.000703,0.000703
17,31078.2,0.87581,0.68376,1.17025,0.9153,0.93156,0.95803,0.76178,0.77388,0.56151,1.1424,0.0006832,0.0006832,0.0006832
